drugbank_id,name,cas
DB00175,Pravastatin,81093-37-0
DB00176,Fluvoxamine,54739-18-3
DB00177,Valsartan,137862-53-4
DB00178,Ramipril,87333-19-5
DB00179,Masoprocol,27686-84-6
DB00180,Flunisolide,3385-03-3
DB00181,Baclofen,1134-47-0
DB00182,Amphetamine,300-62-9
DB00183,Pentagastrin,5534-95-2
DB00184,Nicotine,54-11-5
DB00185,Cevimeline,107233-08-9
DB00186,Lorazepam,846-49-1
DB00187,Esmolol,81147-92-4
DB00188,Bortezomib,179324-69-7
DB00189,Ethchlorvynol,113-18-8
DB00190,Carbidopa,28860-95-9
DB00191,Phentermine,122-09-8
DB00192,Indecainide,74517-78-5
DB00193,Tramadol,27203-92-5
DB00194,Vidarabine,24356-66-9
DB00195,Betaxolol,63659-18-7
DB00196,Fluconazole,86386-73-4
DB00197,Troglitazone,97322-87-7
DB00198,Oseltamivir,196618-13-0
DB00199,Erythromycin,114-07-8
DB00200,Hydroxocobalamin,13422-51-0
DB00201,Caffeine,58-08-2
DB00202,Succinylcholine,306-40-1
DB00203,Sildenafil,139755-83-2
DB00204,Dofetilide,115256-11-6
DB00205,Pyrimethamine,58-14-0
DB00206,Reserpine,50-55-5
DB00207,Azithromycin,83905-01-5
DB00208,Ticlopidine,55142-85-3
DB00209,Trospium,47608-32-2
DB00210,Adapalene,106685-40-9
DB00211,Midodrine,42794-76-3
DB00212,Remikiren,126222-34-2
DB00213,Pantoprazole,102625-70-7
DB00214,Torasemide,56211-40-6
DB00215,Citalopram,59729-33-8
DB00216,Eletriptan,143322-58-1
DB00217,Bethanidine,55-73-2
DB00218,Moxifloxacin,151096-09-2
DB00219,Oxyphenonium,14214-84-7
DB00220,Nelfinavir,159989-64-7
DB00221,Isoetharine,79490-84-9
DB00222,Glimepiride,93479-97-1
DB00223,Diflorasone,2557-49-5
DB00224,Indinavir,150378-17-9
DB00225,Gadodiamide,131410-48-5
DB00226,Guanadrel,40580-59-4
DB00227,Lovastatin,75330-75-5
DB00228,Enflurane,13838-16-9
DB00229,Cefotiam,61622-34-2
DB00230,Pregabalin,148553-50-8
DB00231,Temazepam,846-50-4
DB00232,Methyclothiazide,135-07-9
DB00233,Aminosalicylic acid,65-49-6
DB00234,Reboxetine,71620-89-8
DB00235,Milrinone,78415-72-2
DB00236,Pipobroman,54-91-1
DB00237,Butabarbital,125-40-6
DB00238,Nevirapine,129618-40-2
DB00239,Oxiconazole,64211-45-6
DB00240,Alclometasone,67452-97-5
DB00241,Butalbital,77-26-9
DB00242,Cladribine,4291-63-8
DB00243,Ranolazine,95635-55-5
DB00244,Mesalazine,89-57-6
DB00245,Benzatropine,86-13-5
DB00246,Ziprasidone,146939-27-7
DB00247,Methysergide,361-37-5
DB00248,Cabergoline,81409-90-7
DB00249,Idoxuridine,54-42-2
DB00250,Dapsone,80-08-0
DB00251,Terconazole,67915-31-5
DB00252,Phenytoin,57-41-0
DB00253,Medrysone,2668-66-8
DB00254,Doxycycline,564-25-0
DB00255,Diethylstilbestrol,56-53-1
DB00256,Lymecycline,992-21-2
DB00257,Clotrimazole,23593-75-1
DB00258,Calcium acetate,62-54-4
DB00259,Sulfanilamide,63-74-1
DB00260,Cycloserine,68-41-7
DB00261,Anagrelide,68475-42-3
DB00262,Carmustine,154-93-8
DB00263,Sulfisoxazole,127-69-5
DB00264,Metoprolol,51384-51-1
DB00265,Crotamiton,483-63-6
DB00266,Dicoumarol,66-76-2
DB00267,Cefmenoxime,65085-01-0
DB00268,Ropinirole,91374-21-9
DB00269,Chlorotrianisene,569-57-3
DB00270,Isradipine,75695-93-1
DB00271,Diatrizoate,117-96-4
DB00272,Betazole,105-20-4
DB00273,Topiramate,97240-79-4
DB00274,Cefmetazole,56796-20-4
DB00275,Olmesartan,144689-24-7
DB00276,Amsacrine,51264-14-3
DB00277,Theophylline,58-55-9
DB00278,Argatroban,74863-84-6
DB00279,Liothyronine,6893-02-3
DB00280,Disopyramide,3737-09-5
DB00281,Lidocaine,137-58-6
DB00282,Pamidronic acid,40391-99-9
DB00283,Clemastine,15686-51-8
DB00284,Acarbose,56180-94-0
DB00285,Venlafaxine,93413-69-5
DB00286,Conjugated estrogens,12126-59-9
DB00287,Travoprost,157283-68-6
DB00288,Amcinonide,51022-69-6
DB00289,Atomoxetine,83015-26-3
DB00290,Bleomycin,11056-06-7
DB00291,Chlorambucil,305-03-3
DB00292,Etomidate,33125-97-2
DB00293,Raltitrexed,112887-68-0
DB00294,Etonogestrel,54048-10-1
DB00295,Morphine,57-27-2
DB00296,Ropivacaine,84057-95-4
DB00297,Bupivacaine,38396-39-3
DB00298,Dapiprazole,72822-12-9
DB00299,Penciclovir,39809-25-1
DB00300,Tenofovir disoproxil,201341-05-1
DB00301,Flucloxacillin,5250-39-5
DB00302,Tranexamic acid,1197-18-8
DB00303,Ertapenem,153832-46-3
DB00304,Desogestrel,54024-22-5
DB00305,Mitomycin,50-07-7
DB00306,Talbutal,115-44-6
DB00307,Bexarotene,153559-49-0
DB00308,Ibutilide,122647-31-8
DB00309,Vindesine,53643-48-4
DB00310,Chlorthalidone,77-36-1
DB00311,Ethoxzolamide,452-35-7
DB00312,Pentobarbital,76-74-4
DB00313,Valproic acid,99-66-1
DB00314,Capreomycin,11003-38-6
DB00315,Zolmitriptan,139264-17-8
DB00316,Acetaminophen,103-90-2
DB00317,Gefitinib,184475-35-2
DB00318,Codeine,76-57-3
DB00319,Piperacillin,66258-76-2
DB00320,Dihydroergotamine,511-12-6
DB00321,Amitriptyline,50-48-6
DB00322,Floxuridine,50-91-9
DB00323,Tolcapone,134308-13-7
DB00324,Fluorometholone,426-13-1
DB00325,Nitroprusside,15078-28-1
DB00326,Calcium glucoheptonate,29039-00-7
DB00327,Hydromorphone,466-99-9
DB00328,Indomethacin,53-86-1
DB00330,Ethambutol,74-55-5
DB00331,Metformin,657-24-9
DB00332,Ipratropium,60205-81-4
DB00333,Methadone,76-99-3
DB00334,Olanzapine,132539-06-1
DB00335,Atenolol,29122-68-7
DB00336,Nitrofural,59-87-0
DB00337,Pimecrolimus,137071-32-0
DB00338,Omeprazole,73590-58-6
DB00339,Pyrazinamide,98-96-4
DB00340,Metixene,4969-02-2
DB00341,Cetirizine,83881-51-0
DB00342,Terfenadine,50679-08-8
DB00343,Diltiazem,42399-41-7
DB00344,Protriptyline,438-60-8
DB00345,Aminohippuric acid,61-78-9
DB00346,Alfuzosin,81403-80-7
DB00347,Trimethadione,127-48-0
DB00348,Nitisinone,104206-65-7
DB00349,Clobazam,22316-47-8
DB00350,Minoxidil,38304-91-5
DB00351,Megestrol acetate,595-33-5
DB00352,Tioguanine,154-42-7
DB00353,Methylergometrine,113-42-8
DB00354,Buclizine,82-95-1
DB00355,Aztreonam,78110-38-0
DB00356,Chlorzoxazone,95-25-0
DB00357,Aminoglutethimide,125-84-8
DB00358,Mefloquine,53230-10-7
DB00359,Sulfadiazine,68-35-9
DB00360,Sapropterin,62989-33-7
DB00361,Vinorelbine,71486-22-1
DB00362,Anidulafungin,166663-25-8
DB00363,Clozapine,5786-21-0
DB00364,Sucralfate,54182-58-0
DB00365,Grepafloxacin,119914-60-2
DB00366,Doxylamine,469-21-6
DB00367,Levonorgestrel,797-63-7
DB00368,Norepinephrine,51-41-2
DB00369,Cidofovir,113852-37-2
DB00370,Mirtazapine,85650-52-8
DB00371,Meprobamate,57-53-4
DB00372,Thiethylperazine,1420-55-9
DB00373,Timolol,26839-75-8
DB00374,Treprostinil,81846-19-7
DB00375,Colestipol,26658-42-4
DB00376,Trihexyphenidyl,144-11-6
DB00377,Palonosetron,135729-56-5
DB00378,Dydrogesterone,152-62-5
DB00379,Mexiletine,31828-71-4
DB00380,Dexrazoxane,24584-09-6
DB00381,Amlodipine,88150-42-9
DB00382,Tacrine,321-64-2
DB00383,Oxyphencyclimine,125-53-1
DB00384,Triamterene,396-01-0
DB00385,Valrubicin,56124-62-0
DB00387,Procyclidine,77-37-2
DB00388,Phenylephrine,59-42-7
DB00389,Carbimazole,22232-54-8
DB00390,Digoxin,20830-75-5
DB00391,Sulpiride,15676-16-1
DB00392,Profenamine,522-00-9
DB00393,Nimodipine,66085-59-4
DB00394,Beclomethasone dipropionate,5534-09-8
DB00395,Carisoprodol,78-44-4
DB00396,Progesterone,57-83-0
DB00397,Phenylpropanolamine,14838-15-4
DB00398,Sorafenib,284461-73-0
DB00399,Zoledronic acid,118072-93-8
DB00400,Griseofulvin,126-07-8
DB00401,Nisoldipine,63675-72-9
DB00402,Eszopiclone,138729-47-2
DB00403,Ceruletide,17650-98-5
DB00404,Alprazolam,28981-97-7
DB00405,Dexbrompheniramine,132-21-8
DB00406,Gentian violet cation,7438-46-2
DB00407,Ardeparin,9005-49-6
DB00408,Loxapine,1977-10-2
DB00409,Remoxipride,80125-14-0
DB00410,Mupirocin,12650-69-0
DB00411,Carbamoylcholine,462-58-8
DB00412,Rosiglitazone,122320-73-4
DB00413,Pramipexole,104632-26-0
DB00414,Acetohexamide,968-81-0
DB00415,Ampicillin,69-53-4
DB00416,Metocurine iodide,7601-55-0
DB00417,Phenoxymethylpenicillin,87-08-1
DB00418,Secobarbital,76-73-3
DB00419,Miglustat,72599-27-0
DB00420,Promazine,58-40-2
DB00421,Spironolactone,52-01-7
DB00422,Methylphenidate,113-45-1
DB00423,Methocarbamol,532-03-6
DB00424,Hyoscyamine,101-31-5
DB00425,Zolpidem,82626-48-0
DB00426,Famciclovir,104227-87-4
DB00427,Triprolidine,486-12-4
DB00428,Streptozocin,18883-66-4
DB00429,Carboprost tromethamine,58551-69-2
DB00430,Cefpiramide,70797-11-4
DB00431,Lindane,58-89-9
DB00432,Trifluridine,70-00-8
DB00433,Prochlorperazine,58-38-8
DB00434,Cyproheptadine,129-03-3
DB00435,Nitric Oxide,10102-43-9
DB00436,Bendroflumethiazide,73-48-3
DB00437,Allopurinol,315-30-0
DB00438,Ceftazidime,72558-82-8
DB00439,Cerivastatin,145599-86-6
DB00440,Trimethoprim,738-70-5
DB00441,Gemcitabine,95058-81-4
DB00442,Entecavir,142217-69-4
DB00443,Betamethasone,378-44-9
DB00444,Teniposide,29767-20-2
DB00445,Epirubicin,56420-45-2
DB00446,Chloramphenicol,56-75-7
DB00447,Loracarbef,76470-66-1
DB00448,Lansoprazole,103577-45-3
DB00449,Dipivefrin,52365-63-6
DB00450,Droperidol,548-73-2
DB00451,Levothyroxine,51-48-9
DB00452,Framycetin,119-04-0
DB00453,Clomocycline,1181-54-0
DB00454,Meperidine,57-42-1
DB00455,Loratadine,79794-75-5
DB00456,Cefalotin,153-61-7
DB00457,Prazosin,19216-56-9
DB00458,Imipramine,50-49-7
DB00459,Acitretin,55079-83-9
DB00460,Verteporfin,129497-78-5
DB00461,Nabumetone,42924-53-8
DB00462,Methscopolamine bromide,155-41-9
DB00463,Metharbital,50-11-3
DB00464,Sodium tetradecyl sulfate,139-88-8
DB00465,Ketorolac,74103-06-3
DB00466,Picrotoxin,124-87-8
DB00467,Enoxacin,74011-58-8
DB00468,Quinine,130-95-0
DB00469,Tenoxicam,59804-37-4
DB00470,Dronabinol,1972-08-3
DB00471,Montelukast,158966-92-8
DB00472,Fluoxetine,54910-89-3
DB00473,Hexylcaine,532-77-4
DB00474,Methohexital,151-83-7
DB00475,Chlordiazepoxide,58-25-3
DB00476,Duloxetine,116539-59-4
DB00477,Chlorpromazine,50-53-3
DB00478,Rimantadine,13392-28-4
DB00479,Amikacin,37517-28-5
DB00480,Lenalidomide,191732-72-6
DB00481,Raloxifene,84449-90-1
DB00482,Celecoxib,169590-42-5
DB00483,Gallamine triethiodide,65-29-2
DB00484,Brimonidine,59803-98-4
DB00485,Dicloxacillin,3116-76-5
DB00486,Nabilone,51022-71-0
DB00487,Pefloxacin,70458-92-3
DB00488,Altretamine,645-05-6
DB00489,Sotalol,3930-20-9
DB00490,Buspirone,36505-84-7
DB00491,Miglitol,72432-03-2
DB00492,Fosinopril,98048-97-6
DB00493,Cefotaxime,63527-52-6
DB00494,Entacapone,130929-57-6
DB00495,Zidovudine,30516-87-1
DB00496,Darifenacin,133099-04-4
DB00497,Oxycodone,76-42-6
DB00498,Phenindione,83-12-5
DB00499,Flutamide,13311-84-7
DB00500,Tolmetin,26171-23-3
DB00501,Cimetidine,51481-61-9
DB00502,Haloperidol,52-86-8
DB00503,Ritonavir,155213-67-5
DB00504,Levallorphan,152-02-3
DB00505,Tridihexethyl,60-49-1
DB00507,Nitazoxanide,55981-09-4
DB00508,Triflupromazine,146-54-3
DB00509,Dextrothyroxine,51-49-0
DB00511,Acetyldigitoxin,1111-39-3
DB00512,Vancomycin,1404-90-6
DB00513,Aminocaproic acid,60-32-2
DB00514,Dextromethorphan,125-71-3
DB00515,Cisplatin,15663-27-1
DB00516,Bentoquatam,1340-69-8
DB00517,Anisotropine methylbromide,80-50-2
DB00518,Albendazole,54965-21-8
DB00519,Trandolapril,87679-37-6
DB00520,Caspofungin,162808-62-0
DB00521,Carteolol,51781-06-7
DB00522,Bentiromide,37106-97-1
DB00523,Alitretinoin,5300-03-8
DB00524,Metolazone,17560-51-9
DB00525,Tolnaftate,2398-96-1
DB00526,Oxaliplatin,61825-94-3
DB00527,Cinchocaine,85-79-0
DB00528,Lercanidipine,100427-26-7
DB00529,Foscarnet,4428-95-9
DB00530,Erlotinib,183321-74-6
DB00531,Cyclophosphamide,50-18-0
DB00532,Mephenytoin,50-12-4
DB00533,Rofecoxib,162011-90-7
DB00534,Chlormerodrin,62-37-3
DB00535,Cefdinir,91832-40-5
DB00536,Guanidine,113-00-8
DB00537,Ciprofloxacin,85721-33-1
DB00538,Gadoversetamide,131069-91-5
DB00539,Toremifene,89778-26-7
DB00540,Nortriptyline,72-69-5
DB00541,Vincristine,57-22-7
DB00542,Benazepril,86541-75-5
DB00543,Amoxapine,14028-44-5
DB00544,Fluorouracil,51-21-8
DB00545,Pyridostigmine,155-97-5
DB00546,Adinazolam,37115-32-5
DB00547,Desoximetasone,382-67-2
DB00548,Azelaic acid,123-99-9
DB00549,Zafirlukast,107753-78-6
DB00550,Propylthiouracil,51-52-5
DB00551,Acetohydroxamic acid,546-88-3
DB00552,Pentostatin,53910-25-1
DB00553,Methoxsalen,298-81-7
DB00554,Piroxicam,36322-90-4
DB00555,Lamotrigine,84057-84-1
DB00556,Perflutren,76-19-7
DB00557,Hydroxyzine,68-88-2
DB00558,Zanamivir,139110-80-8
DB00559,Bosentan,147536-97-8
DB00560,Tigecycline,220620-09-7
DB00561,Doxapram,309-29-5
DB00562,Benzthiazide,91-33-8
DB00563,Methotrexate,59-05-2
DB00564,Carbamazepine,298-46-4
DB00565,Cisatracurium,96946-41-7
DB00566,Succimer,304-55-2
DB00567,Cephalexin,15686-71-2
DB00568,Cinnarizine,298-57-7
DB00569,Fondaparinux,104993-28-4
DB00570,Vinblastine,865-21-4
DB00571,Propranolol,525-66-6
DB00572,Atropine,51-55-8
DB00573,Fenoprofen,29679-58-1
DB00574,Fenfluramine,458-24-2
DB00575,Clonidine,4205-90-7
DB00576,Sulfamethizole,144-82-1
DB00577,Valaciclovir,124832-26-4
DB00578,Carbenicillin,4697-36-3
DB00579,Mazindol,22232-71-9
DB00580,Valdecoxib,181695-72-7
DB00581,Lactulose,4618-18-2
DB00582,Voriconazole,137234-62-9
DB00583,Levocarnitine,541-15-1
DB00584,Enalapril,75847-73-3
DB00585,Nizatidine,76963-41-2
DB00586,Diclofenac,15307-86-5
DB00587,Cinalukast,128312-51-6
DB00588,Fluticasone propionate,80474-14-2
DB00589,Lisuride,18016-80-3
DB00590,Doxazosin,74191-85-8
DB00591,Fluocinolone acetonide,67-73-2
DB00592,Piperazine,110-85-0
DB00593,Ethosuximide,77-67-8
DB00594,Amiloride,2609-46-3
DB00595,Oxytetracycline,79-57-2
DB00596,Ulobetasol,98651-66-2
DB00597,Gadoteridol,120066-54-8
DB00598,Labetalol,36894-69-6
DB00599,Thiopental,76-75-5
DB00600,Monobenzone,103-16-2
DB00601,Linezolid,165800-03-3
DB00602,Ivermectin,70288-86-7
DB00603,Medroxyprogesterone acetate,71-58-9
DB00604,Cisapride,81098-60-4
DB00605,Sulindac,38194-50-2
DB00606,Cyclothiazide,2259-96-3
DB00607,Nafcillin,147-52-4
DB00608,Chloroquine,54-05-7
DB00609,Ethionamide,536-33-4
DB00610,Metaraminol,54-49-9
DB00611,Butorphanol,42408-82-2
DB00612,Bisoprolol,66722-44-9
DB00613,Amodiaquine,86-42-0
DB00614,Furazolidone,67-45-8
DB00615,Rifabutin,72559-06-9
DB00616,Candoxatril,123122-55-4
DB00617,Paramethadione,115-67-3
DB00618,Demeclocycline,127-33-3
DB00619,Imatinib,152459-95-5
DB00620,Triamcinolone,124-94-7
DB00621,Oxandrolone,53-39-4
DB00622,Nicardipine,55985-32-5
DB00623,Fluphenazine,69-23-8
DB00624,Testosterone,58-22-0
DB00625,Efavirenz,154598-52-4
DB00626,Bacitracin,1405-87-4
DB00627,Niacin,59-67-6
DB00628,Clorazepic acid,23887-31-2
DB00629,Guanabenz,5051-62-7
DB00630,Alendronic acid,66376-36-1
DB00631,Clofarabine,123318-82-1
DB00632,Docosanol,661-19-8
DB00633,Dexmedetomidine,113775-47-6
DB00634,Sulfacetamide,144-80-9
DB00635,Prednisone,53-03-2
DB00636,Clofibrate,637-07-0
DB00637,Astemizole,68844-77-9
DB00638,Inulin,9005-80-5
DB00639,Butoconazole,64872-76-0
DB00640,Adenosine,58-61-7
DB00641,Simvastatin,79902-63-9
DB00642,Pemetrexed,137281-23-3
DB00643,Mebendazole,31431-39-7
DB00644,Gonadorelin,33515-09-2
DB00645,Dyclonine,586-60-7
DB00646,Nystatin,1400-61-9
DB00647,Dextropropoxyphene,469-62-5
DB00648,Mitotane,53-19-0
DB00649,Stavudine,3056-17-5
DB00650,Leucovorin,58-05-9
DB00651,Dyphylline,479-18-5
DB00652,Pentazocine,359-83-1
DB00653,Magnesium sulfate,7487-88-9
DB00654,Latanoprost,130209-82-4
DB00655,Estrone,53-16-7
DB00656,Trazodone,19794-93-5
DB00657,Mecamylamine,60-40-2
DB00658,Sevelamer,52757-95-6
DB00659,Acamprosate,77337-76-9
DB00660,Metaxalone,1665-48-1
DB00661,Verapamil,52-53-9
DB00662,Trimethobenzamide,138-56-7
DB00663,Flumethasone,2135-17-3
DB00664,Sulfametopyrazine,152-47-6
DB00665,Nilutamide,63612-50-0
DB00666,Nafarelin,76932-56-4
DB00668,Epinephrine,51-43-4
DB00669,Sumatriptan,103628-46-2
DB00670,Pirenzepine,28797-61-7
DB00671,Cefixime,79350-37-1
DB00672,Chlorpropamide,94-20-2
DB00673,Aprepitant,170729-80-3
DB00674,Galantamine,357-70-0
DB00675,Tamoxifen,10540-29-1
DB00676,Benzyl benzoate,120-51-4
DB00677,Isoflurophate,55-91-4
DB00678,Losartan,114798-26-4
DB00679,Thioridazine,50-52-2
DB00680,Moricizine,31883-05-3
DB00681,Amphotericin B,1397-89-3
DB00682,Warfarin,81-81-2
DB00683,Midazolam,59467-70-8
DB00684,Tobramycin,32986-56-4
DB00685,Trovafloxacin,147059-72-1
DB00686,Pentosan polysulfate,37300-21-3
DB00687,Fludrocortisone,127-31-1
DB00688,Mycophenolate mofetil,128794-94-5
DB00689,Cephaloglycin,3577-01-3
DB00690,Flurazepam,17617-23-1
DB00691,Moexipril,103775-10-6
DB00692,Phentolamine,50-60-2
DB00693,Fluorescein,2321-07-5
DB00694,Daunorubicin,20830-81-3
DB00695,Furosemide,54-31-9
DB00696,Ergotamine,113-15-5
DB00697,Tizanidine,51322-75-9
DB00698,Nitrofurantoin,67-20-9
DB00699,Nicergoline,27848-84-6
DB00700,Eplerenone,107724-20-9
DB00701,Amprenavir,161814-49-9
DB00702,Icodextrin,337376-15-5
DB00703,Methazolamide,554-57-4
DB00704,Naltrexone,16590-41-3
DB00705,Delavirdine,136817-59-9
DB00706,Tamsulosin,106133-20-4
DB00707,Porfimer sodium,87806-31-3
DB00708,Sufentanil,56030-54-7
DB00709,Lamivudine,134678-17-4
DB00710,Ibandronate,114084-78-5
DB00711,Diethylcarbamazine,90-89-1
DB00712,Flurbiprofen,5104-49-4
DB00713,Oxacillin,66-79-5
DB00714,Apomorphine,58-00-4
DB00715,Paroxetine,61869-08-7
DB00716,Nedocromil,69049-73-6
DB00717,Norethisterone,68-22-4
DB00718,Adefovir dipivoxil,142340-99-6
DB00719,Azatadine,3964-81-6
DB00720,Clodronic acid,10596-23-3
DB00721,Procaine,59-46-1
DB00722,Lisinopril,76547-98-3
DB00723,Methoxamine,390-28-3
DB00724,Imiquimod,99011-02-6
DB00725,Homatropine methylbromide,80-49-9
DB00726,Trimipramine,739-71-9
DB00727,Nitroglycerin,55-63-0
DB00728,Rocuronium,143558-00-3
DB00730,Thiabendazole,148-79-8
DB00731,Nateglinide,105816-04-4
DB00732,Atracurium besylate,64228-81-5
DB00733,Pralidoxime,6735-59-7
DB00734,Risperidone,106266-06-2
DB00735,Naftifine,65472-88-0
DB00736,Esomeprazole,119141-88-7
DB00737,Meclizine,569-65-3
DB00738,Pentamidine,100-33-4
DB00739,Hetacillin,3511-16-8
DB00740,Riluzole,1744-22-5
DB00741,Hydrocortisone,50-23-7
DB00742,Mannitol,69-65-8
